city,year,category,crime_rate
Albuquerque,1975,All Crimes,832.523983538174
Arlington,1975,All Crimes,247.159444513594
Atlanta,1975,All Crimes,1637.43619848996
Aurora,1975,All Crimes,523.76217254149
Austin,1975,All Crimes,404.460719041278
Baltimore,1975,All Crimes,1861.59009373915
Boston,1975,All Crimes,1848.01662013893
Buffalo,1975,All Crimes,793.320008714679
Charlotte-Mecklenburg,1975,All Crimes,739.022445374528
Chicago,1975,All Crimes,1179.68253968254
Cincinnati,1975,All Crimes,825.628162735049
Cleveland,1975,All Crimes,1576.3769242542
Columbus,1975,All Crimes,694.836041389882
Dallas,1975,All Crimes,885.31396552422
Denver,1975,All Crimes,976.108946353367
Detroit,1975,All Crimes,2121.33947295671
El Paso,1975,All Crimes,438.482384823848
Fort Worth,1975,All Crimes,508.556815946495
Fresno,1975,All Crimes,646.458923512748
Honolulu,1975,All Crimes,226.29887899816
Houston,1975,All Crimes,650.275222940054
Indianapolis,1975,All Crimes,924.691752861976
Jacksonville,1975,All Crimes,843.601232147858
Kansas City,1975,All Crimes,1241.47914306861
Las Vegas,1975,All Crimes,1040.98946168725
Long Beach,1975,All Crimes,935.854770834434
Los Angeles,1975,All Crimes,1113.78603732474
Louisville,1975,All Crimes,NA
Memphis,1975,All Crimes,839.774595774367
Mesa,1975,All Crimes,235.915741853396
Miami,1975,All Crimes,1771.38751560976
Milwaukee,1975,All Crimes,475.110807287998
Minneapolis,1975,All Crimes,820.468797024012
Nashville,1975,All Crimes,702.402135231317
National,1975,All Crimes,487.8
New Orleans,1975,All Crimes,1047.84817828631
New York City,1975,All Crimes,1780.82712226841
Newark,1975,All Crimes,1914.86678312577
Oakland,1975,All Crimes,1746.86452621481
Oklahoma City,1975,All Crimes,694.124416464235
Omaha,1975,All Crimes,648.970717112642
Orlando,1975,All Crimes,942.114016056459
Philadelphia,1975,All Crimes,867.222831982745
Phoenix,1975,All Crimes,695.91016187508
Pittsburgh,1975,All Crimes,1036.77233381272
Portland,1975,All Crimes,1092.39238219797
Raleigh,1975,All Crimes,480.859010270775
Sacramento,1975,All Crimes,917.131189304699
Salt Lake City,1975,All Crimes,594.444444444444
San Antonio,1975,All Crimes,549.157533551678
San Diego,1975,All Crimes,502.00790151851203
San Francisco,1975,All Crimes,1363.77815954876
San Jose,1975,All Crimes,385.170569036728
Seattle,1975,All Crimes,788.679245283019
St. Louis,1975,All Crimes,1856.41476274165
Tampa,1975,All Crimes,1088.27459696396
Tucson,1975,All Crimes,531.571218795888
Tulsa,1975,All Crimes,508.630609896433
Virginia Beach,1975,All Crimes,208.110795977752
Washington,1975,All Crimes,1774.30167597765
Wichita,1975,All Crimes,438.589723808054
Albuquerque,1976,All Crimes,828.015670709801
Arlington,1976,All Crimes,254.954871126826
Atlanta,1976,All Crimes,1646.40279903783
Aurora,1976,All Crimes,413.636363636364
Austin,1976,All Crimes,421.890575203224
Baltimore,1976,All Crimes,1648.24954063653
Boston,1976,All Crimes,1596.28824238785
Buffalo,1976,All Crimes,727.121319404095
Charlotte-Mecklenburg,1976,All Crimes,691.55536092256
Chicago,1976,All Crimes,977.508686396135
Cincinnati,1976,All Crimes,810.453230924142
Cleveland,1976,All Crimes,1322.75049898957
